fish_name,tank_volume_m3,fish_count,initial_weight_g,stocking_density_fish_m3,temperature,ph,dissolved_oxygen,ammonia,nitrite,alkalinity,feed_protein_percent,daily_feed_kg,culture_period_days,final_weight_g,final_biomass_kg,survival_rate_percent,fcr
Rohu,86.3,9018,19.5,104.5,29.6,7.16,3.84,0.61,0.18,84.0,27.3,3.535,140,29.95,204.16,75.59,1.73
Common Carp,20.9,6095,24.2,291.63,29.6,7.69,3.75,0.12,0.67,176.5,29.1,3.245,208,41.68,173.46,68.28,1.69
Koi,26.3,9613,58.4,365.51,25.1,6.9,5.95,0.13,0.48,149.5,33.2,14.653,146,100.72,837.62,86.51,1.43
Gulsha,88.4,431,72.5,4.88,29.7,7.26,5.74,0.92,0.25,70.3,32.3,0.747,113,109.41,38.94,82.57,1.66
Magur,22.5,5445,59.6,242.0,26.0,7.24,6.86,0.69,0.97,159.8,33.0,8.6,185,102.79,381.75,68.21,1.61
Rohu,50.1,8589,53.7,171.44,24.6,7.84,6.08,1.09,0.6,106.4,25.0,7.287,219,86.86,447.65,60,1.8
Thai Koi,51.0,3267,79.7,64.06,24.4,7.87,6.83,0.86,0.62,95.6,27.4,5.494,111,117.14,297.25,77.67,1.55
Pangasius,49.2,1129,17.7,22.95,24.5,8.3,4.57,0.55,0.98,90.9,30.5,0.599,218,36.62,30.45,73.67,1.59
Shing,28.1,3258,45.3,115.94,30.9,8.38,4.53,0.35,0.93,104.6,25.5,2.361,93,66.33,172.4,79.78,1.7
Gulsha,84.2,4404,16.4,52.3,25.8,8.33,5.46,0.66,0.34,124.6,27.4,1.134,189,29.23,102.88,79.93,1.53
Pabda,59.9,391,20.0,6.53,24.0,8.32,4.38,0.7,0.91,116.3,29.2,0.145,231,38.44,10.8,71.88,1.64
Koi,96.1,3056,53.1,31.8,31.5,7.84,4.96,0.39,0.31,162.8,34.3,3.765,194,116.59,324.76,91.15,1.52
Koi,43.4,6997,7.7,161.22,24.3,7.63,5.64,1.09,0.71,102.4,32.4,1.557,123,11.81,49.59,60,1.66
Rohu,13.4,5072,45.0,378.51,28.0,7.1,4.9,0.31,0.83,154.0,25.9,4.2,211,83.84,320.5,75.37,1.8
Pabda,96.5,2936,8.5,30.42,26.0,8.26,4.67,0.64,0.55,158.4,25.8,0.674,209,16.26,34.28,71.8,1.88
Tilapia,9.0,3092,43.1,343.56,25.5,6.92,7.33,1.03,0.77,130.7,33.1,2.825,169,77.0,147.32,61.88,1.41
Shing,75.1,5130,39.6,68.31,28.4,7.34,4.12,0.65,0.18,92.9,26.0,4.733,189,73.13,312.39,83.27,1.65
Tilapia,28.1,6271,44.1,223.17,27.6,7.01,4.47,0.35,0.64,165.5,31.8,7.716,117,72.33,360.47,79.47,1.49
Silver Carp,77.0,7521,35.7,97.68,30.6,6.55,5.05,0.29,0.64,81.2,25.4,5.719,111,51.66,300.04,77.23,1.69
Silver Carp,40.4,2345,49.6,58.04,24.5,7.29,6.64,0.24,0.33,130.6,26.0,2.605,166,87.51,187.49,91.36,1.84
Magur,56.5,9937,33.0,175.88,25.3,7.01,4.73,0.2,0.58,125.7,26.1,5.903,157,56.74,425.71,75.5,1.8
Koi,28.8,8668,40.2,300.97,28.3,7.77,6.43,0.79,0.06,137.6,28.2,6.133,93,59.81,403.11,77.76,1.61
Magur,71.0,7763,15.1,109.34,31.7,8.32,3.78,0.96,0.84,120.7,28.2,3.27,211,27.44,133.86,62.85,1.55
Catla,67.6,1938,35.8,28.67,30.5,6.56,3.65,0.75,0.86,157.7,31.3,1.977,192,60.9,76.52,64.83,1.99
Rohu,90.8,6824,5.7,75.15,29.4,7.96,7.4,0.88,0.68,88.6,32.3,0.84,135,8.23,43.08,76.71,1.89
Pangasius,19.6,2900,15.2,147.96,24.8,6.76,6.19,1.03,0.56,156.3,32.7,0.719,149,25.98,47.83,63.49,1.69
Mrigal,50.9,2429,22.4,47.72,26.8,7.21,4.95,0.42,0.5,106.7,28.0,1.485,202,42.97,96.35,92.32,1.74
Catla,17.8,9881,75.1,555.11,24.6,8.4,5.46,0.17,0.45,146.4,27.3,16.696,208,134.09,1030.55,77.78,1.71
Magur,25.5,2940,44.1,115.29,30.3,7.63,4.17,1.08,0.45,132.2,30.3,1.971,194,78.57,171.56,74.27,1.74
Magur,19.9,8953,10.2,449.9,30.5,7.73,6.99,0.85,0.07,85.9,28.0,1.753,142,16.34,113.84,77.83,1.8
Tilapia,80.9,9441,68.0,116.7,29.1,6.62,6.68,0.11,0.2,135.8,27.2,19.195,225,172.67,1434.85,88.02,1.47
Koi,86.9,2375,56.9,27.33,31.9,8.27,4.02,0.57,0.65,99.2,30.4,3.189,134,90.1,153.24,71.61,1.73
Thai Koi,37.0,5681,56.3,153.54,28.7,6.62,5.77,0.69,0.03,180.0,26.5,8.38,233,114.65,466.61,71.64,1.66
Shing,40.6,6527,15.9,160.76,24.3,7.32,3.76,0.2,0.81,111.3,30.3,2.895,194,27.88,124.32,68.31,1.65
Common Carp,13.0,6317,17.9,485.92,31.5,6.72,3.86,0.37,0.7,144.7,34.0,2.567,143,25.72,106.25,65.4,1.71
Catla,61.9,4354,69.3,70.34,28.4,7.07,6.86,1.09,0.21,74.8,26.7,6.91,127,98.18,312.36,73.07,1.92
Mrigal,97.4,8703,44.3,89.35,29.8,8.48,3.73,0.8,0.95,112.6,33.9,7.171,127,65.74,362.9,63.43,1.93
Koi,9.9,3725,66.8,376.26,32.0,8.26,6.5,0.2,0.89,173.5,31.9,7.266,237,133.47,364.38,73.29,1.5
Common Carp,18.1,7171,5.4,396.19,25.4,6.78,6.88,0.87,0.04,151.0,25.8,0.991,203,9.59,48.38,70.33,1.8
Gulsha,75.7,7077,47.1,93.49,29.4,7.83,4.66,0.73,0.41,82.9,30.2,9.033,113,70.51,410.02,82.17,1.48
Gulsha,34.1,412,42.2,12.08,30.9,7.66,6.72,0.89,0.74,137.8,28.3,0.285,213,81.55,25.92,77.15,1.87
Mrigal,41.4,4495,9.1,108.57,24.5,6.75,6.06,0.44,0.4,121.7,28.3,0.978,118,13.84,52.65,84.6,1.61
Pangasius,60.5,6943,74.1,114.76,25.4,7.57,4.38,0.51,0.91,107.9,25.1,14.663,174,153.03,849.9,79.99,1.66
Common Carp,13.0,7618,15.4,586.0,26.8,7.02,7.31,1.11,0.46,92.1,29.4,3.508,96,21.08,106.42,66.27,1.81
Rohu,62.3,5565,12.5,89.33,24.2,6.61,5.53,0.52,0.2,170.9,34.3,1.934,155,20.53,90.18,78.94,1.51
Shing,68.8,9667,63.7,140.51,31.6,6.64,3.86,1.02,0.46,97.0,33.1,12.5,190,112.64,695.9,63.91,1.67
Shing,72.0,6957,21.7,96.62,26.2,6.9,3.7,0.1,0.24,143.4,32.7,2.4,120,35.96,213.77,85.45,1.53
Gulsha,5.2,4009,53.4,770.96,30.3,7.29,3.85,0.72,0.78,169.0,25.1,4.56,105,69.13,166.29,60,1.88
Tilapia,97.7,1716,66.3,17.56,24.6,7.5,4.41,0.07,0.43,87.4,29.3,1.832,194,149.69,242.85,94.54,1.24
Gulsha,21.0,6368,11.0,303.24,29.3,7.69,3.91,0.65,0.69,147.5,34.5,1.219,90,13.92,54.02,60.94,1.75
Silver Carp,56.5,6507,35.2,115.17,26.3,7.45,5.59,1.16,0.2,175.2,30.0,5.428,98,46.58,221.66,73.14,1.96
Rohu,96.8,2471,36.0,25.53,30.0,8.03,6.69,0.11,0.97,140.8,31.9,2.473,206,68.35,145.24,86.0,1.51
Gulsha,99.9,7420,77.9,74.27,31.8,7.08,3.5,0.26,0.78,159.3,28.8,12.254,108,109.5,598.23,73.63,1.69
Tilapia,53.5,679,53.2,12.69,31.5,7.01,4.68,0.12,0.44,164.7,33.1,1.044,224,137.06,86.04,92.45,1.21
Catla,28.8,527,6.3,18.3,29.9,7.33,7.3,0.31,0.3,99.4,30.1,0.073,182,11.84,5.58,89.34,1.58
Magur,41.6,809,15.8,19.45,27.0,7.86,4.98,0.07,0.64,91.1,27.8,0.248,162,28.73,19.76,85.03,1.43
Tilapia,19.8,8874,71.9,448.18,27.4,8.31,5.38,0.7,0.08,118.3,33.1,14.42,178,147.1,987.67,75.66,1.37
Pangasius,62.9,3584,20.3,56.98,27.3,7.77,6.69,1.19,0.34,171.2,31.1,2.001,223,44.15,119.28,75.39,1.66
Catla,39.4,6481,13.0,164.49,25.7,7.92,5.71,1.08,0.54,142.5,29.5,2.157,118,16.93,65.85,60,1.77
Shing,63.5,9075,74.8,142.91,29.6,7.86,7.3,0.78,0.34,153.5,30.9,19.414,134,130.24,1001.55,84.74,1.4
Silver Carp,71.6,9836,38.5,137.37,26.5,6.58,5.4,0.57,0.76,102.9,29.0,9.391,157,62.44,432.79,70.47,1.95
Pabda,54.1,2448,52.9,45.25,25.1,8.14,4.82,0.4,0.32,126.9,28.3,3.484,195,108.45,241.61,91.01,1.48
Mrigal,77.2,5715,56.6,74.03,28.4,7.94,5.24,1.17,0.27,144.5,30.8,6.308,109,81.38,344.17,74.0,1.79
Pabda,68.0,9493,72.2,139.6,25.4,7.48,7.13,0.38,0.73,97.9,33.5,17.957,208,141.56,1108.01,82.45,1.53
Gulsha,28.7,8665,52.6,301.92,30.8,8.34,3.88,1.15,0.19,140.4,25.9,12.899,118,72.75,378.21,60,1.81
Silver Carp,86.8,9216,52.5,106.18,26.3,7.67,4.28,0.76,0.93,71.7,29.5,7.693,200,93.02,657.08,76.65,1.81
Pangasius,69.1,5043,24.1,72.98,30.7,7.76,5.83,0.42,0.31,146.6,32.4,3.002,174,52.73,250.59,94.23,1.48
Koi,67.1,8764,21.6,130.61,30.2,6.76,6.26,0.2,0.36,169.7,29.8,4.619,228,46.54,354.2,86.83,1.54
Silver Carp,62.8,5354,49.8,85.25,30.2,8.08,4.53,1.17,0.22,108.6,31.9,5.119,179,80.22,314.74,73.28,1.85
Common Carp,81.5,9984,32.2,122.5,30.2,7.61,7.01,0.09,0.03,123.9,32.9,6.301,132,54.9,500.45,91.31,1.73
Pangasius,85.9,1593,66.3,18.54,29.5,6.65,7.22,0.11,0.31,170.6,30.2,2.788,128,115.13,159.09,86.75,1.39
Magur,81.7,1256,50.7,15.37,25.6,7.22,5.86,0.6,0.82,129.9,25.5,1.834,185,95.24,93.38,78.06,1.8
Pangasius,22.2,1794,61.2,80.81,27.9,7.96,6.8,0.99,0.15,168.3,27.6,3.052,149,118.53,181.16,85.19,1.43
Mrigal,6.9,3026,67.1,438.55,24.6,6.54,3.52,0.1,0.47,90.6,34.7,3.716,207,113.64,249.71,72.62,1.82
Silver Carp,11.8,8989,32.3,761.78,26.4,7.02,5.41,0.12,0.86,170.0,34.8,5.371,105,46.81,319.15,75.85,1.74
Magur,98.8,2187,25.6,22.14,25.8,7.98,6.11,0.69,0.32,85.2,26.0,1.282,160,47.21,88.36,85.58,1.59
Mrigal,5.3,8018,20.8,1512.83,24.6,7.78,7.15,0.57,0.74,101.0,27.4,3.386,195,34.44,186.67,67.6,1.81
Thai Koi,45.1,8483,35.2,188.09,24.5,6.73,6.13,0.15,0.13,70.4,31.4,8.391,237,78.55,533.71,80.1,1.53
Mrigal,88.4,3015,39.3,34.11,31.0,6.99,5.15,0.81,0.29,136.8,29.4,3.389,152,62.81,159.97,84.47,1.68
Shing,29.7,5783,11.3,194.71,29.4,7.0,5.97,0.62,0.29,115.0,30.7,1.47,91,16.59,75.02,78.21,1.62
Common Carp,23.5,7635,28.9,324.89,29.5,7.46,4.02,0.38,0.26,79.5,28.2,5.869,186,52.45,327.95,81.9,1.55
Shing,43.4,1420,61.0,32.72,31.1,8.0,4.98,0.38,0.96,137.0,27.9,2.434,103,87.88,103.28,82.76,1.43
Gulsha,28.7,3793,25.1,132.16,30.6,7.95,5.31,0.43,0.09,159.8,27.7,1.961,155,44.95,156.58,91.83,1.5
Mrigal,29.3,1490,73.4,50.85,28.1,7.58,3.9,0.51,0.92,106.4,27.6,2.22,219,129.01,129.11,67.17,1.76
Pangasius,64.3,6271,74.8,97.53,29.6,7.51,5.02,0.4,0.79,152.7,34.8,10.413,106,117.38,643.94,87.48,1.49
Rohu,9.1,2763,33.3,303.63,28.1,8.39,5.5,0.25,0.8,129.8,29.1,1.463,197,58.82,120.72,74.28,1.92
Tilapia,57.0,1767,42.9,31.0,30.7,7.01,5.95,0.08,0.84,113.8,32.6,1.251,167,86.45,129.11,84.52,1.41
Rohu,21.0,8672,62.6,412.95,28.8,8.06,3.87,0.53,0.19,146.4,30.1,8.143,159,92.89,556.41,69.07,1.8
Gulsha,99.1,8448,62.2,85.25,29.1,8.47,7.36,0.45,0.03,71.6,26.8,13.189,170,108.94,796.0,86.49,1.6
Koi,95.3,825,25.0,8.66,31.5,7.36,3.59,1.06,0.09,109.9,33.9,0.594,217,48.71,27.74,69.02,1.56
Shing,58.9,2608,29.2,44.28,25.1,7.32,3.55,0.83,0.47,124.0,32.6,2.262,133,47.57,96.16,77.5,1.7
Shing,71.5,1626,26.8,22.74,26.6,7.84,5.47,0.48,0.37,113.7,31.1,1.277,222,59.79,89.41,91.96,1.61
Magur,95.9,2333,55.9,24.33,28.3,6.79,4.14,0.41,0.12,110.1,34.6,2.465,225,118.93,241.98,87.21,1.51
Mrigal,35.7,6820,11.3,191.04,27.7,7.24,7.31,0.97,0.04,108.2,31.0,2.158,206,20.89,109.3,76.72,1.76
Mrigal,13.3,8235,67.2,619.17,27.9,8.11,6.9,0.73,0.42,120.7,26.1,10.127,116,96.04,620.09,78.4,1.89
Koi,79.7,598,47.8,7.5,30.9,8.11,5.95,0.77,0.98,117.8,25.7,0.795,144,81.04,36.97,76.29,1.7
Rohu,67.7,3906,21.6,57.7,31.0,7.89,3.53,0.39,0.47,150.4,33.3,2.21,187,36.82,123.24,85.7,1.75
Pangasius,65.5,6345,61.7,96.87,31.0,8.16,7.21,0.3,0.61,153.0,30.8,10.022,156,126.53,692.36,86.24,1.34
Magur,84.3,1492,55.2,17.7,26.1,7.39,6.46,0.97,0.82,73.3,25.9,1.804,108,81.5,92.22,75.84,1.56
Silver Carp,33.9,2739,56.3,80.8,28.2,7.79,7.33,1.12,0.4,141.2,31.7,4.133,203,98.26,200.96,74.67,1.9
Gulsha,53.0,8835,75.0,166.7,26.6,6.87,4.2,0.9,0.88,115.8,28.1,14.777,186,130.57,807.86,70.03,1.71
Pangasius,20.6,9215,70.1,447.33,25.4,7.26,4.93,0.42,0.71,133.9,32.1,14.534,221,150.27,1100.02,79.44,1.63
Shing,59.7,735,75.7,12.31,31.4,7.5,7.11,0.24,0.35,78.7,34.1,0.84,191,149.55,99.75,90.75,1.45
Pangasius,82.5,4048,67.1,49.07,26.2,7.48,5.59,1.18,0.84,77.5,33.3,5.84,177,131.6,359.05,67.4,1.6
Tilapia,82.2,4912,28.2,59.76,30.5,7.66,4.49,0.06,0.99,149.5,32.1,3.034,103,47.6,198.9,85.07,1.27
Silver Carp,67.7,4239,33.2,62.61,30.6,7.49,4.74,0.68,0.3,160.5,28.9,3.645,239,65.26,230.43,83.3,1.78
Pabda,17.5,5713,12.6,326.46,25.6,7.51,7.49,0.92,0.23,71.1,26.3,1.253,134,18.81,82.25,76.56,1.8
Magur,30.0,5107,51.3,170.23,24.5,6.6,4.91,1.12,0.91,123.9,34.5,6.393,231,93.08,285.21,60,1.6
Shing,8.3,3955,63.2,476.51,25.6,6.59,3.96,0.72,0.33,95.9,32.2,6.749,239,127.11,323.96,64.44,1.67
Gulsha,64.8,4287,19.0,66.16,25.6,6.79,7.19,0.83,0.33,165.2,32.3,1.711,172,34.05,114.5,78.45,1.49
Thai Koi,12.5,6118,46.3,489.44,25.8,7.45,3.51,0.5,0.18,70.5,29.6,7.422,96,69.78,333.64,78.15,1.71
Silver Carp,15.7,3032,43.5,193.12,27.4,8.43,4.42,1.05,0.47,143.7,30.7,2.822,195,70.68,132.41,61.79,1.72
Rohu,93.3,5657,14.3,60.63,25.4,8.3,5.21,0.61,0.15,82.7,25.1,1.982,140,22.97,104.27,80.23,1.66
Koi,69.3,4879,19.1,70.4,28.4,7.48,6.06,0.69,0.51,99.6,27.7,2.786,126,30.52,113.37,76.13,1.73
Koi,15.3,2130,55.1,139.22,25.3,7.68,7.1,0.55,0.85,166.1,33.7,2.559,124,87.78,143.39,76.69,1.76
Pabda,89.4,1773,8.4,19.83,27.0,7.99,7.3,0.58,0.08,139.6,32.9,0.241,139,14.43,21.13,82.58,1.66
Koi,37.7,2967,15.4,78.7,25.7,7.88,4.32,0.14,0.9,71.4,30.0,1.357,207,32.05,82.22,86.46,1.64
Thai Koi,97.7,9385,21.3,96.06,30.1,7.55,4.13,1.07,0.31,79.0,27.7,5.377,230,43.97,318.14,77.09,1.61
Thai Koi,50.9,2016,49.1,39.61,27.5,6.56,6.89,0.69,0.56,169.5,25.5,2.089,222,100.42,144.43,71.34,1.74
Rohu,72.4,6950,10.3,95.99,27.5,7.31,3.93,0.58,0.05,113.9,35.0,2.097,172,16.69,90.63,78.12,1.83
Common Carp,77.5,9230,29.0,119.1,31.1,7.54,4.65,0.72,0.5,147.3,25.1,4.149,96,42.81,326.93,82.74,1.59
Magur,59.7,1586,28.4,26.57,29.9,6.75,5.88,0.32,0.97,86.5,28.0,0.986,146,47.56,59.87,79.38,1.6
Rohu,8.8,9858,59.9,1120.23,31.0,6.62,4.82,0.3,0.66,160.6,26.6,16.416,103,84.38,607.46,73.03,1.7
Silver Carp,53.4,9908,62.4,185.54,24.5,7.08,5.49,0.67,0.84,161.0,27.0,11.561,153,93.84,653.43,70.28,1.92
Catla,87.5,3585,53.7,40.97,24.9,8.19,7.38,0.32,0.1,84.7,34.1,3.176,215,111.84,366.19,91.33,1.84
Rohu,74.2,4500,13.4,60.65,28.4,8.02,5.36,0.05,0.53,154.7,28.2,1.152,104,18.87,72.74,85.66,1.71
Rohu,54.1,2521,8.1,46.6,30.6,6.91,5.92,1.07,0.37,125.3,32.2,0.329,220,14.66,28.16,76.16,1.66
Pabda,72.1,7001,30.3,97.1,29.5,6.95,4.73,0.73,0.26,94.3,30.0,4.285,99,41.89,248.01,84.56,1.62
Shing,25.5,5665,17.3,222.16,27.1,8.36,4.23,0.66,0.5,92.1,30.3,1.852,173,31.28,125.41,70.77,1.67
Silver Carp,11.0,5264,10.9,478.55,27.0,7.89,6.09,0.62,0.33,74.3,27.0,1.073,93,15.01,60.63,76.73,1.94
Rohu,45.5,7021,69.6,154.31,31.2,7.37,6.72,0.56,0.39,133.5,29.1,10.115,129,104.06,556.37,76.15,1.65
Pabda,53.6,8166,36.1,152.35,27.7,7.34,4.71,0.53,0.52,138.9,25.0,4.658,183,58.33,321.69,67.54,1.83
Pangasius,75.6,2386,33.9,31.56,28.2,7.19,6.27,0.6,0.72,77.6,27.6,1.229,233,75.01,138.25,77.25,1.7
Magur,37.5,9832,22.1,262.19,29.2,6.86,6.14,0.77,0.91,147.6,26.2,5.584,103,32.23,214.41,67.67,1.74
Tilapia,32.6,1647,79.1,50.52,30.1,7.97,3.89,0.43,0.95,148.2,31.7,3.335,149,151.46,193.91,77.73,1.51
Mrigal,86.6,1515,19.0,17.49,29.5,7.7,7.05,0.17,0.19,169.7,25.2,0.642,180,33.11,44.81,89.31,1.78
Koi,92.5,3849,52.2,41.61,30.4,7.93,3.9,0.11,0.43,145.9,33.0,4.259,203,103.94,338.66,84.65,1.53
Koi,21.4,8468,15.9,395.7,29.0,8.02,4.22,1.04,0.27,131.2,27.1,3.029,240,31.5,179.19,67.18,1.59
Silver Carp,99.1,587,65.9,5.92,31.7,7.97,4.19,0.28,0.1,167.7,30.2,0.921,144,105.89,56.58,91.03,1.62
Common Carp,27.0,8293,40.9,307.15,27.6,6.92,5.69,1.08,0.08,100.2,25.6,5.122,207,68.98,394.74,69.01,1.76
Pangasius,38.8,5495,8.3,141.62,29.8,8.43,7.09,1.01,0.43,159.0,27.0,1.272,176,16.29,65.37,73.04,1.46
Thai Koi,66.0,5342,60.4,80.94,26.5,7.01,6.92,0.39,0.5,81.7,34.8,9.163,186,123.92,616.3,93.1,1.38
Rohu,64.2,1931,18.0,30.08,31.4,7.4,7.47,1.19,0.72,139.9,27.9,0.772,198,31.26,42.3,70.07,1.88
Mrigal,100.0,2502,60.1,25.02,29.0,7.48,5.11,0.27,0.85,158.4,30.2,4.376,206,107.7,229.72,85.25,1.58
Rohu,65.0,7721,6.0,118.78,30.8,7.91,3.51,0.29,0.57,168.6,30.8,0.788,128,8.77,51.91,76.67,1.94
Catla,31.6,9460,42.5,299.37,29.3,8.47,7.19,0.28,0.59,163.0,31.4,6.513,210,72.35,484.9,70.85,1.87
Koi,54.5,496,75.1,9.1,25.8,7.37,7.49,0.7,0.82,99.6,26.0,1.062,137,129.03,49.06,76.66,1.65
Pangasius,30.6,1667,51.3,54.48,29.4,6.86,4.14,0.65,0.4,138.3,34.7,1.308,101,82.08,115.74,84.59,1.43
Silver Carp,70.6,7918,19.7,112.15,29.4,8.08,6.43,0.4,0.5,102.3,29.9,3.775,173,35.64,255.15,90.42,1.77
Rohu,76.8,4539,57.0,59.1,27.3,7.32,6.12,1.14,0.69,172.4,32.5,4.372,193,93.56,284.52,67.0,1.8
Koi,80.5,7305,78.2,90.75,25.8,7.09,5.4,0.55,0.41,134.8,32.7,16.052,159,141.02,883.32,85.75,1.58
Pabda,15.0,6971,10.2,464.73,30.8,6.72,5.55,0.3,0.96,106.3,32.6,1.344,189,17.67,88.43,71.78,1.8
Mrigal,31.5,8679,65.1,275.52,31.7,7.42,6.4,0.06,0.77,104.9,32.6,8.758,91,91.42,621.37,78.31,1.67
Thai Koi,96.5,7628,68.5,79.05,24.5,7.08,6.77,0.66,0.57,164.0,31.7,14.84,234,151.75,889.56,76.85,1.59
Pabda,62.5,1090,18.2,17.44,27.0,7.4,5.83,0.56,0.05,132.0,29.0,0.557,139,28.76,25.56,81.53,1.5
Shing,50.8,7563,45.5,148.88,27.0,8.34,3.92,0.95,0.65,100.1,31.9,9.188,144,69.99,347.46,65.64,1.76
Silver Carp,54.5,7445,17.9,136.61,25.6,7.73,5.59,0.45,0.75,108.5,28.4,3.452,214,35.28,217.73,82.9,1.63
Thai Koi,73.0,6770,7.6,92.74,27.5,7.31,5.45,0.54,0.63,170.6,30.8,1.363,195,14.92,79.9,79.1,1.79
Rohu,68.1,9410,39.2,138.18,25.9,7.67,3.53,1.04,0.35,160.7,30.6,10.07,174,63.89,406.01,67.53,1.83
Gulsha,30.3,1240,70.2,40.92,26.8,7.89,5.43,0.4,0.2,81.5,27.8,1.828,152,118.86,131.02,88.9,1.71
Gulsha,69.4,3825,32.3,55.12,30.8,7.0,4.57,0.15,0.55,129.3,32.2,2.706,191,63.53,204.71,84.24,1.48
Silver Carp,15.7,6258,70.1,398.6,31.3,7.9,6.22,0.24,0.49,83.4,31.7,11.23,175,125.97,660.69,83.81,1.75
Common Carp,36.8,3355,75.5,91.17,24.4,7.54,7.27,0.4,0.97,123.8,32.9,4.509,141,129.45,372.19,85.7,1.71
Magur,89.0,7891,22.2,88.66,30.4,7.04,7.18,0.72,0.45,161.2,31.4,3.661,124,34.16,222.29,82.47,1.56
Pangasius,62.8,4064,33.9,64.71,31.7,7.91,7.31,1.04,0.99,170.0,33.2,3.238,133,53.67,149.55,68.56,1.51
Mrigal,79.3,1709,40.3,21.55,31.3,7.79,7.41,0.56,0.85,80.7,32.3,1.123,118,57.03,73.04,74.95,1.73
Thai Koi,82.2,7261,52.9,88.33,28.6,6.59,3.62,0.79,0.05,130.6,32.8,11.101,98,80.09,424.65,73.02,1.58
Mrigal,19.0,517,14.5,27.21,31.4,6.94,5.31,1.14,0.78,176.3,33.0,0.16,155,22.85,8.13,68.83,1.92
Common Carp,76.8,1532,11.7,19.95,31.6,6.53,5.94,0.84,0.28,105.9,32.4,0.488,180,20.86,25.59,80.08,1.65
Thai Koi,5.5,8762,67.2,1593.09,26.3,6.92,4.26,0.81,0.83,81.4,28.5,17.252,115,99.74,611.46,69.97,1.8
Mrigal,7.9,485,59.1,61.39,25.7,7.81,4.17,0.09,0.9,118.4,34.1,0.473,134,96.75,39.73,84.68,1.73
Thai Koi,19.3,6823,42.1,353.52,26.4,7.17,6.76,0.86,0.25,85.8,26.1,5.573,149,75.17,394.65,76.95,1.51
Common Carp,65.9,8522,50.2,129.32,29.8,7.68,4.03,0.13,0.46,176.9,30.5,8.684,203,106.01,815.68,90.29,1.72
Catla,77.1,3296,73.9,42.75,25.8,6.75,4.34,0.35,0.94,103.2,29.8,4.311,167,119.05,314.42,80.13,1.66
Gulsha,30.4,3144,65.0,103.42,31.9,7.89,5.43,0.88,0.54,149.8,27.8,4.414,162,114.36,271.78,75.59,1.8
Shing,20.6,4579,8.2,222.28,31.4,6.69,7.12,0.19,0.69,123.8,31.4,0.972,103,12.2,40.31,72.14,1.84
Thai Koi,56.3,631,68.8,11.21,28.3,7.83,4.1,1.15,0.92,104.7,30.6,0.747,203,123.8,54.34,69.57,1.69
Gulsha,11.2,1766,63.0,157.68,31.9,8.36,4.48,0.91,0.28,75.2,33.6,2.036,145,103.74,131.93,72.01,1.61
Koi,6.2,2644,19.1,426.45,28.3,6.8,5.48,0.49,0.77,104.5,28.7,0.97,192,37.07,74.46,75.97,1.67
Pabda,85.9,7576,77.0,88.2,31.3,8.28,6.98,0.76,0.73,113.8,31.0,14.759,227,138.74,751.11,71.46,1.88
Mrigal,90.1,8317,11.1,92.31,29.6,6.65,7.34,0.34,0.63,101.2,26.6,2.326,103,15.1,100.64,80.16,1.72
Magur,15.5,9044,57.5,583.48,25.5,8.45,4.01,1.17,0.59,86.7,32.7,13.573,201,93.2,505.74,60,1.84
Mrigal,7.5,4651,17.4,620.13,26.9,8.28,6.72,0.12,0.81,177.0,25.2,1.683,209,30.08,102.71,73.42,1.75
Mrigal,72.0,3332,56.4,46.28,27.9,7.32,3.94,0.77,0.9,134.7,31.9,4.134,202,92.82,216.8,70.1,1.75
Tilapia,8.6,6194,22.5,720.23,30.2,8.2,4.25,1.11,0.42,160.0,28.7,2.383,210,45.38,197.81,70.38,1.61
Pabda,42.2,3808,24.7,90.24,28.7,6.92,7.43,1.02,0.63,151.9,34.7,1.994,162,41.32,102.31,65.02,1.83
Common Carp,12.3,4635,7.6,376.83,31.2,7.73,4.17,1.13,0.61,119.4,25.1,0.874,195,12.79,36.37,61.35,1.86
Tilapia,41.9,2318,30.2,55.32,25.2,8.26,5.59,0.35,0.18,92.3,27.1,1.155,119,52.59,107.05,87.82,1.35
Thai Koi,28.7,7385,42.6,257.32,29.4,7.77,4.48,0.43,0.97,130.4,26.3,5.694,111,68.47,400.66,79.24,1.67
Koi,34.5,6685,19.9,193.77,24.2,6.75,5.72,0.31,0.1,96.2,30.1,3.166,183,37.35,204.19,81.79,1.53
Gulsha,5.8,9632,45.2,1660.69,27.0,7.37,7.43,0.07,0.54,84.2,25.2,12.93,92,64.23,460.61,74.45,1.65
Silver Carp,55.4,5323,62.1,96.08,25.2,7.27,6.02,1.13,0.58,91.5,27.9,6.314,160,98.1,347.56,66.56,1.91
Mrigal,53.7,7361,66.5,137.08,28.6,7.92,4.09,0.42,0.64,125.6,25.9,11.65,96,92.86,570.41,83.45,1.61
Common Carp,37.5,9291,28.1,247.76,27.6,7.47,6.8,1.16,0.81,179.3,30.9,6.892,115,37.64,209.83,60,1.88
Magur,44.4,9500,45.6,213.96,24.5,8.4,4.92,0.85,0.59,121.9,27.2,9.141,130,69.01,429.04,65.44,1.76
Common Carp,62.3,458,13.4,7.35,31.8,8.28,6.9,0.99,0.84,111.0,27.4,0.125,152,22.22,7.47,73.41,1.88
Koi,22.0,528,25.2,24.0,24.7,6.68,5.74,0.41,0.53,117.4,28.6,0.254,150,42.87,17.71,78.25,1.44
